model,metoda,pass_rate,IAE,Mp,ts,czas_s,ocena
dwa_zbiorniki,optymalizacja,75.0,25.961552631837492,15.248117141911994,69.405,0,12.303658293146325
dwa_zbiorniki,siatka,75.0,24.43806556882469,17.619666189203585,67.02250000000001,0,12.4951085859851
wahadlo_odwrocone,ziegler_nichols,100.0,8.423164802796157,125.27434571235571,95.524,0,12.780129515319457
wahadlo_odwrocone,optymalizacja,100.0,14.075165462924705,158.67090989955418,109.69950000000001,0,16.28934595384316
wahadlo_odwrocone,siatka,100.0,15.034747344238568,183.37439778659393,109.55150000000002,0,18.78848219898655
zbiornik_1rz,optymalizacja,50.0,13.261118665753584,5.883580158303081,79.3375,0,20.986191575802916
zbiornik_1rz,siatka,50.0,13.070048565134414,6.271577916497316,76.39000000000001,0,21.019259248603767
zbiornik_1rz,ziegler_nichols,50.0,21.53355704019523,9.79149909082658,82.28,0,21.625156620288514
dwa_zbiorniki,ziegler_nichols,25.0,36.238519772221125,18.102272631339385,81.4475,0,32.897382856300574
