regulator,metoda,model,IAE,ISE,ITAE,Mp,ts,PASS,czas_obliczen,plik
regulator_pi,optymalizacja,wahadlo_odwrocone,0.021585488905781616,0.00017131843492750994,0.05393214628942215,66.60857177184758,6.25,False,,raport_regulator_pi_optymalizacja_wahadlo_odwrocone.json
regulator_pi,optymalizacja,zbiornik_1rz,10.128505109273643,4.415446253319964,204.29927555412198,2.373826688394794,119.95,True,,raport_regulator_pi_optymalizacja_zbiornik_1rz.json
regulator_pi,siatka,dwa_zbiorniki,12.577899264570517,6.639890252362004,253.70485472301428,2.9686839338666617,119.95,True,,raport_regulator_pi_siatka_dwa_zbiorniki.json
regulator_pi,siatka,wahadlo_odwrocone,0.021585488905781616,0.00017131843492750994,0.05393214628942215,66.60857177184758,6.25,False,,raport_regulator_pi_siatka_wahadlo_odwrocone.json
regulator_pi,siatka,zbiornik_1rz,10.128505109273643,4.415446253319964,204.29927555412198,2.373826688394794,119.95,True,,raport_regulator_pi_siatka_zbiornik_1rz.json
regulator_pi,ziegler_nichols,dwa_zbiorniki,16.389340733638612,6.946116015159263,381.1381884587662,83.49191169845756,95.10000000000001,False,,raport_regulator_pi_ziegler_nichols_dwa_zbiorniki.json
regulator_pi,ziegler_nichols,wahadlo_odwrocone,0.026836729310506843,0.0002087592923438034,0.057041374374901886,90.59467235531702,8.33,False,,raport_regulator_pi_ziegler_nichols_wahadlo_odwrocone.json
regulator_pi,ziegler_nichols,zbiornik_1rz,1.7572472411744722,0.5934663225545661,6.196053633478979,17.538677008649785,11.4,False,,raport_regulator_pi_ziegler_nichols_zbiornik_1rz.json
regulator_p,optymalizacja,dwa_zbiorniki,10.788638400675156,6.683263378713989,88.38699007250614,0.0,32.0,True,,raport_regulator_p_optymalizacja_dwa_zbiorniki.json
regulator_p,optymalizacja,wahadlo_odwrocone,0.02123637024548932,0.0001708662702245498,0.03483854857468748,66.51202256230171,6.25,False,,raport_regulator_p_optymalizacja_wahadlo_odwrocone.json
regulator_p,optymalizacja,zbiornik_1rz,9.016030413786954,4.483263258982039,81.73595008507817,0.0,35.5,True,,raport_regulator_p_optymalizacja_zbiornik_1rz.json
regulator_p,siatka,dwa_zbiorniki,10.788638400675156,6.683263378713989,88.38699007250614,0.0,32.0,True,,raport_regulator_p_siatka_dwa_zbiorniki.json
regulator_p,siatka,wahadlo_odwrocone,0.02123637024548932,0.0001708662702245498,0.03483854857468748,66.51202256230171,6.25,False,,raport_regulator_p_siatka_wahadlo_odwrocone.json
regulator_p,siatka,zbiornik_1rz,9.016030413786954,4.483263258982039,81.73595008507817,0.0,35.5,True,,raport_regulator_p_siatka_zbiornik_1rz.json
regulator_p,ziegler_nichols,dwa_zbiorniki,3.887160266412261,1.954608820053068,18.744947683893372,29.31765468250489,20.85,False,,raport_regulator_p_ziegler_nichols_dwa_zbiorniki.json
regulator_p,ziegler_nichols,wahadlo_odwrocone,0.020887876505348513,0.00016185864471416375,0.034727485278433355,88.01637870425259,6.5,False,,raport_regulator_p_ziegler_nichols_wahadlo_odwrocone.json
regulator_p,ziegler_nichols,zbiornik_1rz,1.1025330882353914,0.5280865299493839,1.268935986166945,0.0,4.55,True,,raport_regulator_p_ziegler_nichols_zbiornik_1rz.json
