t,r,y,u,e
0.0,1.0,0.0016666666666666668,1.0,0.9983333333333333
0.05,1.0,0.0033305555555555554,1.0,0.9966694444444445
0.1,1.0,0.004991671296296296,1.0,0.9950083287037037
0.15000000000000002,1.0,0.006650018510802469,1.0,0.9933499814891975
0.2,1.0,0.008305601813284465,1.0,0.9916943981867156
0.25,1.0,0.009958425810262324,1.0,0.9900415741897377
0.30000000000000004,1.0,0.011608495100578554,1.0,0.9883915048994214
0.35000000000000003,1.0,0.013255814275410923,1.0,0.9867441857245891
0.4,1.0,0.014900387918285237,1.0,0.9850996120817148
0.45,1.0,0.016542220605088094,1.0,0.9834577793949119
0.5,1.0,0.018181316904079613,1.0,0.9818186830959204
0.55,1.0,0.019817681375906147,1.0,0.9801823186240939
0.6000000000000001,1.0,0.02145131857361297,1.0,0.9785486814263871
0.65,1.0,0.023082233042656948,1.0,0.976917766957343
0.7000000000000001,1.0,0.024710429320919186,1.0,0.9752895706790808
0.75,1.0,0.026335911938717656,1.0,0.9736640880612824
0.8,1.0,0.027958685418819792,1.0,0.9720413145811803
0.8500000000000001,1.0,0.029578754276455094,1.0,0.9704212457235449
0.9,1.0,0.031196123019327667,1.0,0.9688038769806724
0.9500000000000001,1.0,0.03281079614762879,1.0,0.9671892038523712
1.0,1.0,0.034422778154049406,1.0,0.9655772218459506
1.05,1.0,0.03603207352379266,1.0,0.9639679264762073
1.1,1.0,0.03763868673458634,1.0,0.9623613132654136
1.1500000000000001,1.0,0.039242622256695364,1.0,0.9607573777433046
1.2000000000000002,1.0,0.0408438845529342,1.0,0.9591561154470658
1.25,1.0,0.04244247807867931,1.0,0.9575575219213207
1.3,1.0,0.04403840728188151,1.0,0.9559615927181185
1.35,1.0,0.045631676603078375,1.0,0.9543683233969216
1.4000000000000001,1.0,0.047222290475406575,1.0,0.9527777095245934
1.4500000000000002,1.0,0.04881025332461423,1.0,0.9511897466753858
1.5,1.0,0.050395569569073206,1.0,0.9496044304309268
1.55,1.0,0.05197824361979142,1.0,0.9480217563802086
1.6,1.0,0.0535582798804251,1.0,0.946441720119575
1.6500000000000001,1.0,0.05513568274729106,1.0,0.9448643172527089
1.7000000000000002,1.0,0.05671045660937891,1.0,0.9432895433906211
1.75,1.0,0.05828260584836328,1.0,0.9417173941516367
1.8,1.0,0.059852134838616004,1.0,0.940147865161384
1.85,1.0,0.06141904794721831,1.0,0.9385809520527817
1.9000000000000001,1.0,0.06298334953397294,1.0,0.9370166504660271
1.9500000000000002,1.0,0.06454504395141632,1.0,0.9354549560485836
2.0,1.0,0.06610413554483062,1.0,0.9338958644551694
2.0500000000000003,1.0,0.0676606286522559,1.0,0.9323393713477441
2.1,1.0,0.06921452760450214,1.0,0.9307854723954978
2.15,1.0,0.0707658367251613,1.0,0.9292341632748387
2.2,1.0,0.07231456033061937,1.0,0.9276854396693807
2.25,1.0,0.07386070273006834,1.0,0.9261392972699316
2.3000000000000003,1.0,0.07540426822551823,1.0,0.9245957317744817
2.35,1.0,0.07694526111180904,1.0,0.923054738888191
2.4000000000000004,1.0,0.07848368567662269,1.0,0.9215163143233773
2.45,1.0,0.08001954620049498,1.0,0.919980453799505
2.5,1.0,0.08155284695682749,1.0,0.9184471530431725
2.5500000000000003,1.0,0.08308359221189944,1.0,0.9169164077881006
2.6,1.0,0.08461178622487961,1.0,0.9153882137751204
2.6500000000000004,1.0,0.08613743324783814,1.0,0.9138625667521618
2.7,1.0,0.0876605375257584,1.0,0.9123394624742416
2.75,1.0,0.08918110329654881,1.0,0.9108188967034512
2.8000000000000003,1.0,0.09069913479105457,1.0,0.9093008652089454
2.85,1.0,0.09221463623306948,1.0,0.9077853637669305
2.9000000000000004,1.0,0.0937276118393477,1.0,0.9062723881606523
2.95,1.0,0.09523806581961546,1.0,0.9047619341803845
3.0,1.0,0.09674600237658276,1.0,0.9032539976234173
3.0500000000000003,1.0,0.09825142570595513,1.0,0.9017485742940449
3.1,1.0,0.0997543399964452,1.0,0.9002456600035548
3.1500000000000004,1.0,0.10125474942978446,1.0,0.8987452505702156
3.2,1.0,0.10275265818073483,1.0,0.8972473418192651
3.25,1.0,0.10424807041710027,1.0,0.8957519295828997
3.3000000000000003,1.0,0.10574099029973844,1.0,0.8942590097002616
3.35,1.0,0.10723142198257221,1.0,0.8927685780174278
3.4000000000000004,1.0,0.10871936961260126,1.0,0.8912806303873988
3.45,1.0,0.11020483539344597,0.9999988381194335,0.8897951646065541
3.5,1.0,0.1116878212749229,0.9999963642795997,0.8883121787250771
3.5500000000000003,1.0,0.11316833140395802,0.9999938986959979,0.886831668596042
3.6,1.0,0.11464636992053134,0.9999914413479561,0.8853536300794687
3.6500000000000004,1.0,0.11612194095768853,0.9999889922148486,0.8838780590423114
3.7,1.0,0.11759504864155254,0.9999865512760953,0.8824049513584474
3.75,1.0,0.11906569709133523,0.999984118511162,0.8809343029086648
3.8000000000000003,1.0,0.12053389041934894,0.9999816938995605,0.8794661095806511
3.85,1.0,0.1219996327310181,0.9999792774208478,0.8780003672689819
3.9000000000000004,1.0,0.12346292812489079,0.9999768690546269,0.8765370718751092
3.95,1.0,0.12492378069265021,0.9999744687805461,0.8750762193073498
4.0,1.0,0.1263821945191263,0.9999720765782989,0.8736178054808736
4.05,1.0,0.12783817368230713,0.9999696924276242,0.8721618263176929
4.1000000000000005,1.0,0.12929172225335045,0.9999673163083064,0.8707082777466495
4.15,1.0,0.13074284429659516,0.999964948200174,0.8692571557034048
4.2,1.0,0.1321915438695727,0.9999625880831017,0.8678084561304273
4.25,1.0,0.1336378250230184,0.9999602359370083,0.8663621749769816
4.3,1.0,0.13508169180088314,0.9999578917418576,0.8649183081991169
4.3500000000000005,1.0,0.13652314824034442,0.999955555477658,0.8634768517596556
4.4,1.0,0.13796219837181795,0.9999532271244628,0.862037801628182
4.45,1.0,0.13939884621896886,0.9999509066623695,0.8606011537810312
4.5,1.0,0.1408330957987231,0.9999485940715204,0.8591669042012768
4.55,1.0,0.14226495112127874,0.9999462893321015,0.8577350488787212
4.6000000000000005,1.0,0.1436944161901172,0.9999439924243437,0.8563055838098828
4.65,1.0,0.14512149500201454,0.9999417033285217,0.8548785049979855
4.7,1.0,0.14654619154705278,0.9999394220249544,0.8534538084529473
4.75,1.0,0.14796850980863105,0.9999371484940045,0.8520314901913689
4.800000000000001,1.0,0.1493884537634768,0.9999348827160784,0.8506115462365232
4.8500000000000005,1.0,0.15080602738165705,0.9999326246716269,0.849193972618343
4.9,1.0,0.1522212346265895,0.9999303743411438,0.8477787653734105
4.95,1.0,0.1536340794550538,0.9999281317051671,0.8463659205449462
5.0,1.0,0.15504456581720252,0.9999258967442777,0.8449554341827975
5.050000000000001,1.0,0.15645269765657235,0.9999236694391004,0.8435473023434277
5.1000000000000005,1.0,0.15785847891009525,0.999921449770303,0.8421415210899048
5.15,1.0,0.15926191350810942,0.9999192377185966,0.8407380864918905
5.2,1.0,0.16066300537437048,0.9999170332647354,0.8393369946256295
5.25,1.0,0.16206175842606238,0.9999148363895171,0.8379382415739376
5.300000000000001,1.0,0.16345817657380857,0.9999126470737818,0.8365418234261914
5.3500000000000005,1.0,0.1648522637216829,0.9999104652984125,0.8351477362783171
5.4,1.0,0.16624402376722067,0.9999082910443354,0.8337559762327793
5.45,1.0,0.1676334606014295,0.9999061242925189,0.8323665393985705
5.5,1.0,0.16902057810880042,0.9999039650239745,0.8309794218911996
5.550000000000001,1.0,0.17040538016731868,0.9999018132197555,0.8295946198326813
5.6000000000000005,1.0,0.17178787064847476,0.9998996688609584,0.8282121293515252
5.65,1.0,0.17316805341727518,0.9998975319287214,0.8268319465827249
5.7,1.0,0.17454593233225343,0.9998954024042257,0.8254540676677465
5.75,1.0,0.17592151124548083,0.9998932802686935,0.8240784887545192
5.800000000000001,1.0,0.17729479400257736,0.9998911655033904,0.8227052059974227
5.8500000000000005,1.0,0.17866578444272244,0.9998890580896229,0.8213342155572776
5.9,1.0,0.1800344863986658,0.99988695800874,0.8199655136013342
5.95,1.0,0.18140090369673822,0.9998848652421322,0.8185990963032618
6.0,1.0,0.18276504015686237,0.9998827797712319,0.8172349598431377
6.050000000000001,1.0,0.18412689959256345,0.999880701577513,0.8158731004074365
6.1000000000000005,1.0,0.18548648581098,0.9998786306424909,0.81451351418902
6.15,1.0,0.1868438026128746,0.9998765669477226,0.8131561973871254
6.2,1.0,0.18819885379264448,0.9998745104748067,0.8118011462073556
6.25,1.0,0.18955164313833237,0.9998724612053824,0.8104483568616676
6.300000000000001,1.0,0.19090217443163704,0.9998704191211305,0.809097825568363
6.3500000000000005,1.0,0.19225045144792394,0.9998683842037732,0.807749548552076
6.4,1.0,0.19359647795623586,0.999866356435073,0.8064035220437642
6.45,1.0,0.1949402577193035,0.9998643357968342,0.8050597422806964
6.5,1.0,0.19628179449355618,0.9998623222709009,0.8037182055064438
6.550000000000001,1.0,0.1976210920291322,0.999860315839159,0.8023789079708679
6.6000000000000005,1.0,0.19895815406988954,0.9998583164835345,0.8010418459301105
6.65,1.0,0.2002929843534164,0.999856324185994,0.7997070156465836
6.7,1.0,0.2016255866110416,0.9998543389285448,0.7983744133889584
6.75,1.0,0.20295596456784526,0.9998523606932346,0.7970440354321547
6.800000000000001,1.0,0.2042841219426691,0.9998503894621511,0.7957158780573309
6.8500000000000005,1.0,0.20561006244812702,0.9998484252174228,0.794389937551873
6.9,1.0,0.2069337897906155,0.999846467941218,0.7930662102093845
